name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;599;0;691;3055;1209;3055;1186;0
header;259;181;259;222;1880;222;1880;181
A;1059;250;1059;279;1082;279;1082;250
B;822;437;822;452;831;452;831;437
A;1181;484;1181;491;1187;491;1187;484
B;1173;530;1173;546;1182;546;1182;530
B;1055;925;1055;953;1074;953;1074;925
B;830;1159;830;1186;846;1186;846;1159
A;1140;1427;1140;1452;1160;1452;1160;1427
C;1176;1427;1176;1453;1195;1453;1195;1427
C;1044;1594;1044;1623;1066;1623;1066;1594
D;1038;2272;1038;2300;1061;2300;1061;2272
A;1130;2442;1130;2470;1153;2470;1153;2442
C;1167;2443;1167;2471;1186;2471;1186;2443
B;896;2638;896;2655;906;2655;906;2638
A;1078;2638;1078;2654;1087;2654;1087;2638
C;756;2809;756;2835;779;2835;779;2809
