name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;286;0;309;3049;1795;3049;1840;0
header;232;110;232;141;1857;141;1857;110
A;1026;174;1026;201;1048;201;1048;174
A;613;545;613;561;621;561;621;545
B;995;591;995;608;1004;608;1004;591
B;1309;636;1309;651;1318;651;1318;636
B;1021;847;1021;876;1041;876;1041;847
B;962;856;962;871;983;871;983;856
A;996;877;996;889;1004;889;1004;877
C;1015;1523;1015;1551;1035;1551;1035;1523
B;656;1996;656;2011;678;2011;678;1996
D;1011;2185;1011;2214;1033;2214;1033;2185
A;1580;2747;1580;2759;1585;2759;1585;2747
